0.000, Bid:,0,Ask:,0,
62.300, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,293,1,294,1,296,1,Ask:,9,310,1,356,1,409,1,412,1,414,1,428,1,429,1,449,1,468,1,
62.325, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,293,1,294,1,296,1,Ask:,9,310,1,356,1,362,1,409,1,414,1,428,1,429,1,449,1,468,1,
62.350, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,293,1,296,1,297,1,Ask:,9,310,1,356,1,362,1,409,1,414,1,428,1,429,1,449,1,468,1,
62.375, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,293,1,296,1,297,1,Ask:,9,310,1,356,1,362,1,414,1,428,1,429,1,449,1,454,1,468,1,
62.550, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,293,1,296,1,298,1,Ask:,9,310,1,356,1,362,1,414,1,428,1,429,1,449,1,454,1,468,1,
62.600, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,293,1,296,1,298,1,Ask:,9,310,1,356,1,362,1,391,1,414,1,429,1,449,1,454,1,468,1,
62.800, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,293,1,296,1,298,1,Ask:,9,310,1,356,1,362,1,414,1,429,1,436,1,449,1,454,1,468,1,
62.850, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,296,1,298,1,299,1,Ask:,9,310,1,356,1,362,1,414,1,429,1,436,1,449,1,454,1,468,1,
62.875, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,296,1,298,1,299,1,Ask:,9,310,1,356,1,362,1,387,1,414,1,429,1,436,1,449,1,468,1,
62.900, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,296,1,298,1,299,1,Ask:,9,310,1,356,1,363,1,387,1,414,1,429,1,436,1,449,1,468,1,
62.950, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,298,1,299,1,300,1,Ask:,9,310,1,356,1,363,1,387,1,414,1,429,1,436,1,449,1,468,1,
62.975, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,298,1,299,1,300,1,Ask:,9,310,1,356,1,363,1,370,1,387,1,414,1,436,1,449,1,468,1,
63.000, Bid:,11,25,1,117,1,127,1,167,1,177,1,204,1,225,1,262,1,298,1,299,1,300,1,Ask:,9,310,1,356,1,363,1,370,1,387,1,414,1,436,1,449,1,468,1,
63.075, Bid:,11,25,1,117,1,127,1,167,1,177,1,204,1,225,1,262,1,298,1,299,1,301,1,Ask:,9,310,1,356,1,363,1,370,1,387,1,414,1,436,1,449,1,468,1,
63.150, Bid:,10,25,1,117,2,127,1,177,1,204,1,225,1,262,1,298,1,299,1,301,1,Ask:,9,310,1,356,1,363,1,370,1,387,1,414,1,436,1,449,1,468,1,
63.175, Bid:,10,25,1,117,2,127,1,177,1,204,1,225,1,262,1,298,1,299,1,301,1,Ask:,9,310,1,356,1,363,1,370,1,387,1,414,1,436,1,468,1,485,1,
63.200, Bid:,10,25,1,117,2,127,1,177,1,204,1,225,1,262,1,298,1,301,1,302,1,Ask:,9,310,1,356,1,363,1,370,1,387,1,414,1,436,1,468,1,485,1,
63.225, Bid:,10,25,1,117,2,127,1,177,1,204,1,225,1,262,1,298,1,301,1,302,1,Ask:,8,356,1,363,1,370,1,387,1,414,1,436,1,468,1,485,1,
63.275, Bid:,10,25,1,117,2,127,1,177,1,204,1,225,1,262,1,298,1,301,1,302,1,Ask:,9,356,1,363,1,370,1,387,1,414,1,436,1,456,1,468,1,485,1,
63.300, Bid:,10,25,1,117,2,127,1,177,1,204,1,225,1,262,1,298,1,301,1,302,1,Ask:,10,345,1,356,1,363,1,370,1,387,1,414,1,436,1,456,1,468,1,485,1,
63.350, Bid:,10,25,1,117,2,127,1,177,1,204,1,225,1,262,1,298,1,301,1,302,1,Ask:,10,345,1,356,1,363,1,370,1,387,1,414,1,436,1,451,1,456,1,468,1,
63.375, Bid:,11,25,1,85,1,117,1,127,1,177,1,204,1,225,1,262,1,298,1,301,1,302,1,Ask:,10,345,1,356,1,363,1,370,1,387,1,414,1,436,1,451,1,456,1,468,1,
63.525, Bid:,11,25,1,85,1,127,1,177,1,204,1,225,1,248,1,262,1,298,1,301,1,302,1,Ask:,10,345,1,356,1,363,1,370,1,387,1,414,1,436,1,451,1,456,1,468,1,
63.750, Bid:,11,25,1,85,1,127,1,177,1,204,1,225,1,248,1,262,1,298,1,301,1,302,1,Ask:,10,345,1,356,1,363,1,370,1,387,1,414,1,425,1,436,1,456,1,468,1,
63.775, Bid:,11,25,1,85,1,127,1,177,1,204,1,225,1,236,1,262,1,298,1,301,1,302,1,Ask:,10,345,1,356,1,363,1,370,1,387,1,414,1,425,1,436,1,456,1,468,1,
63.800, Bid:,11,25,1,85,1,127,1,177,1,204,1,225,1,236,1,262,1,298,1,301,1,302,1,Ask:,10,345,1,356,1,363,1,370,1,387,1,388,1,414,1,436,1,456,1,468,1,
63.850, Bid:,11,25,1,85,1,127,1,177,1,204,1,225,1,236,1,262,1,298,1,301,1,302,1,Ask:,10,339,1,345,1,363,1,370,1,387,1,388,1,414,1,436,1,456,1,468,1,
63.975, Bid:,11,25,1,85,1,127,1,177,1,204,1,225,1,236,1,262,1,301,1,302,1,303,1,Ask:,10,339,1,345,1,363,1,370,1,387,1,388,1,414,1,436,1,456,1,468,1,
64.025, Bid:,11,25,1,85,1,127,1,177,1,204,1,225,1,236,1,262,1,301,1,302,1,303,1,Ask:,10,339,1,345,1,363,1,387,1,388,1,414,1,436,1,456,1,468,1,479,1,
64.050, Bid:,11,85,1,127,1,133,1,177,1,204,1,225,1,236,1,262,1,301,1,302,1,303,1,Ask:,10,339,1,345,1,363,1,387,1,388,1,414,1,436,1,456,1,468,1,479,1,
64.100, Bid:,11,85,1,127,1,133,1,177,1,204,1,225,1,236,1,262,1,301,1,302,1,303,1,Ask:,10,334,1,339,1,363,1,387,1,388,1,414,1,436,1,456,1,468,1,479,1,
64.125, Bid:,11,85,1,127,1,133,1,177,1,201,1,204,1,225,1,262,1,301,1,302,1,303,1,Ask:,10,334,1,339,1,363,1,387,1,388,1,414,1,436,1,456,1,468,1,479,1,
64.150, Bid:,11,85,1,127,1,133,1,177,1,201,1,204,1,225,1,262,1,301,1,302,1,304,1,Ask:,10,334,1,339,1,363,1,387,1,388,1,414,1,436,1,456,1,468,1,479,1,
64.175, Bid:,11,85,1,127,1,133,1,177,1,201,1,204,1,225,1,262,1,301,1,302,1,304,1,Ask:,9,334,2,339,1,363,1,387,1,388,1,414,1,436,1,468,1,479,1,
64.250, Bid:,11,85,1,127,1,133,1,177,1,201,1,204,1,225,1,262,1,301,1,302,1,304,1,Ask:,9,334,2,339,1,363,1,376,1,387,1,388,1,414,1,436,1,479,1,
64.400, Bid:,11,85,1,127,1,133,1,150,1,177,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,9,334,2,339,1,363,1,376,1,387,1,388,1,414,1,436,1,479,1,
64.450, Bid:,11,85,1,127,1,133,1,150,1,177,1,201,1,225,1,262,1,301,1,302,1,304,1,Ask:,9,334,2,339,1,349,1,363,1,376,1,388,1,414,1,436,1,479,1,
