t=,909797, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.006, mSel=,+0.171, b=,0.126, m=,0.097, ca=,0.0432, cr=,0.0383,  actvprof=,0.007114, best_B_id=,B01, best_B_prof=,0.007114, best_B_strat=, mBuy=,-0.006, mSel=,+0.171, b=,0.126, m=,0.097, ca=,0.0432, cr=,0.0383, 
t=,941169, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.009, mSel=,+0.135, b=,0.069, m=,0.091, ca=,0.0425, cr=,0.0394,  actvprof=,0.004781, best_B_id=,B01, best_B_prof=,0.004781, best_B_strat=, mBuy=,-0.009, mSel=,+0.135, b=,0.069, m=,0.091, ca=,0.0425, cr=,0.0394, 
t=,972542, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.043, mSel=,+0.142, b=,0.095, m=,0.080, ca=,0.0411, cr=,0.0407,  actvprof=,0.006453, best_B_id=,B01, best_B_prof=,0.006453, best_B_strat=, mBuy=,-0.043, mSel=,+0.142, b=,0.095, m=,0.080, ca=,0.0411, cr=,0.0407, 
t=,1003914, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.048, mSel=,+0.191, b=,0.123, m=,0.066, ca=,0.0422, cr=,0.0423,  actvprof=,0.007027, best_B_id=,B01, best_B_prof=,0.007027, best_B_strat=, mBuy=,-0.048, mSel=,+0.191, b=,0.123, m=,0.066, ca=,0.0422, cr=,0.0423, 
t=,1035286, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.048, mSel=,+0.191, b=,0.123, m=,0.066, ca=,0.0422, cr=,0.0423,  actvprof=,0.008281, best_B_id=,B01, best_B_prof=,0.008281, best_B_strat=, mBuy=,-0.048, mSel=,+0.191, b=,0.123, m=,0.066, ca=,0.0422, cr=,0.0423, 
t=,1066659, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.070, mSel=,+0.172, b=,0.145, m=,0.073, ca=,0.0410, cr=,0.0420,  actvprof=,0.007288, best_B_id=,B01, best_B_prof=,0.007288, best_B_strat=, mBuy=,-0.070, mSel=,+0.172, b=,0.145, m=,0.073, ca=,0.0410, cr=,0.0420, 
t=,1098031, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.049, mSel=,+0.172, b=,0.168, m=,0.111, ca=,0.0376, cr=,0.0408,  actvprof=,0.009704, best_B_id=,B01, best_B_prof=,0.009704, best_B_strat=, mBuy=,-0.049, mSel=,+0.172, b=,0.168, m=,0.111, ca=,0.0376, cr=,0.0408, 
t=,1129404, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.049, mSel=,+0.172, b=,0.168, m=,0.111, ca=,0.0376, cr=,0.0408,  actvprof=,0.008749, best_B_id=,B01, best_B_prof=,0.008749, best_B_strat=, mBuy=,-0.049, mSel=,+0.172, b=,0.168, m=,0.111, ca=,0.0376, cr=,0.0408, 
t=,1160777, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.049, mSel=,+0.172, b=,0.168, m=,0.111, ca=,0.0376, cr=,0.0408,  actvprof=,0.006864, best_B_id=,B01, best_B_prof=,0.006864, best_B_strat=, mBuy=,-0.049, mSel=,+0.172, b=,0.168, m=,0.111, ca=,0.0376, cr=,0.0408, 
t=,1192149, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.024, mSel=,+0.142, b=,0.138, m=,0.119, ca=,0.0382, cr=,0.0394,  actvprof=,0.007870, best_B_id=,B01, best_B_prof=,0.007870, best_B_strat=, mBuy=,-0.024, mSel=,+0.142, b=,0.138, m=,0.119, ca=,0.0382, cr=,0.0394, 
