0.000, Bid:,0,Ask:,0,
62.500, Bid:,12,16,1,70,1,175,1,181,1,210,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,9,310,1,328,1,353,1,366,1,372,1,384,1,403,1,458,1,460,1,
62.525, Bid:,12,16,1,70,1,175,1,181,1,210,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,10,310,1,328,1,353,1,366,1,372,1,384,1,403,1,445,1,458,1,460,1,
62.550, Bid:,12,16,1,70,1,175,1,181,1,210,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,10,310,1,328,1,342,1,353,1,366,1,372,1,403,1,445,1,458,1,460,1,
62.575, Bid:,12,16,1,175,1,181,1,210,1,250,1,270,1,276,1,287,1,300,1,301,1,304,1,309,1,Ask:,10,310,1,328,1,342,1,353,1,366,1,372,1,403,1,445,1,458,1,460,1,
62.600, Bid:,12,16,1,175,1,181,1,210,1,250,1,270,1,276,1,287,1,300,1,301,1,304,1,309,1,Ask:,9,310,2,328,1,342,1,366,1,372,1,403,1,445,1,458,1,460,1,
62.800, Bid:,11,175,1,181,1,210,1,250,1,270,1,276,1,287,1,300,1,301,1,304,1,309,1,Ask:,9,310,1,328,1,342,1,366,1,372,1,403,1,445,1,458,1,460,1,
62.825, Bid:,11,175,1,181,1,210,1,250,1,270,1,276,1,287,1,300,1,301,1,304,1,309,1,Ask:,10,310,1,328,1,342,1,366,1,372,1,403,1,438,1,445,1,458,1,460,1,
62.925, Bid:,10,175,1,181,1,210,1,250,1,270,1,276,1,287,1,300,1,301,1,304,1,Ask:,9,328,1,342,1,366,1,372,1,403,1,438,1,445,1,458,1,460,1,
62.950, Bid:,10,140,1,175,1,181,1,250,1,270,1,276,1,287,1,300,1,301,1,304,1,Ask:,9,328,1,342,1,366,1,372,1,403,1,438,1,445,1,458,1,460,1,
63.000, Bid:,10,140,1,175,1,181,1,250,1,270,1,276,1,287,1,300,1,301,1,304,1,Ask:,9,328,1,342,1,366,1,372,1,403,1,417,1,438,1,458,1,460,1,
63.050, Bid:,10,140,1,175,1,181,1,250,1,270,1,276,1,287,1,300,1,301,1,304,1,Ask:,9,311,1,328,1,342,1,366,1,372,1,403,1,417,1,458,1,460,1,
63.200, Bid:,10,140,1,175,1,181,1,250,1,270,1,276,1,287,1,300,1,301,1,304,1,Ask:,9,311,1,325,1,328,1,342,1,366,1,372,1,403,1,458,1,460,1,
63.350, Bid:,10,140,1,175,1,181,1,250,1,270,1,276,1,287,1,300,1,301,1,304,1,Ask:,9,311,1,325,1,328,1,342,1,366,1,372,1,403,1,458,1,477,1,
63.400, Bid:,10,140,1,175,1,181,1,250,1,270,1,276,1,287,1,300,1,301,1,304,1,Ask:,9,311,1,313,1,325,1,342,1,366,1,372,1,403,1,458,1,477,1,
63.425, Bid:,10,140,1,175,1,181,1,250,1,270,1,276,1,287,1,300,1,304,1,305,1,Ask:,9,311,1,313,1,325,1,342,1,366,1,372,1,403,1,458,1,477,1,
63.475, Bid:,10,140,1,175,1,181,1,250,1,270,1,276,1,287,1,300,1,304,1,305,1,Ask:,9,311,1,313,1,325,1,329,1,366,1,372,1,403,1,458,1,477,1,
63.575, Bid:,9,140,1,175,1,181,1,250,1,270,1,276,1,287,1,300,1,305,2,Ask:,9,311,1,313,1,325,1,329,1,366,1,372,1,403,1,458,1,477,1,
63.600, Bid:,9,140,1,175,1,181,1,250,1,270,1,276,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,313,1,325,1,329,1,366,1,372,1,403,1,458,1,477,1,
63.700, Bid:,9,140,1,170,1,175,1,250,1,270,1,276,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,313,1,325,1,329,1,366,1,372,1,403,1,458,1,477,1,
63.775, Bid:,9,140,1,170,1,175,1,250,1,270,1,276,1,287,1,300,1,305,2,Ask:,10,310,1,313,1,325,1,329,1,366,1,367,1,372,1,403,1,458,1,477,1,
63.825, Bid:,9,140,1,170,1,175,1,250,1,270,1,276,1,287,1,300,1,305,2,Ask:,10,310,1,313,1,325,1,329,1,366,1,367,1,372,1,403,1,422,1,458,1,
63.900, Bid:,9,140,1,170,1,175,1,213,1,250,1,270,1,287,1,300,1,305,2,Ask:,10,310,1,313,1,325,1,329,1,366,1,367,1,372,1,403,1,422,1,458,1,
64.000, Bid:,9,140,1,170,1,175,1,213,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,313,1,325,1,329,1,366,1,367,1,372,1,403,1,422,1,458,1,
64.100, Bid:,9,140,1,170,1,175,1,213,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,313,1,325,1,329,1,367,1,372,1,403,1,422,1,458,1,
64.125, Bid:,9,140,1,170,1,175,1,213,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,313,1,329,1,340,1,367,1,372,1,403,1,422,1,458,1,
64.175, Bid:,9,140,1,170,1,175,1,213,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,313,1,327,1,340,1,367,1,372,1,403,1,422,1,458,1,
64.200, Bid:,9,140,1,170,1,175,1,213,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,313,1,327,1,367,1,372,1,403,1,422,1,441,1,458,1,
64.350, Bid:,9,140,1,170,1,175,1,213,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,313,1,327,1,344,1,367,1,372,1,422,1,441,1,458,1,
64.375, Bid:,9,140,1,170,1,175,1,213,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,312,1,327,1,344,1,367,1,372,1,422,1,441,1,458,1,
64.575, Bid:,9,140,1,170,1,175,1,219,1,250,1,278,1,287,1,300,1,305,2,Ask:,10,310,1,311,1,312,1,327,1,344,1,367,1,372,1,422,1,441,1,458,1,
