B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
S16, Trade, 540.650, 310, S16, B08, 1
S17, 7
S17, Trade, 60.925, 310, S17, B18, 1
S17, Trade, 147.875, 310, S17, B09, 1
S17, Trade, 183.175, 310, S17, B18, 1
S17, Trade, 244.500, 310, S17, B16, 1
S17, Trade, 334.525, 310, S17, B05, 1
S17, Trade, 421.100, 310, S17, B14, 1
S17, Trade, 540.950, 310, B10, S17, 1
S18, 8
S18, Trade, 62.200, 310, S18, B09, 1
S18, Trade, 120.275, 310, S18, B08, 1
S18, Trade, 184.025, 310, S18, B09, 1
S18, Trade, 241.700, 310, S18, B13, 1
S18, Trade, 301.050, 310, S18, B13, 1
S18, Trade, 425.050, 310, S18, B10, 1
S18, Trade, 482.150, 310, S18, B10, 1
S18, Trade, 542.325, 310, S18, B14, 1
S19, 9
S19, Trade, 60.875, 310, S19, B19, 1
S19, Trade, 121.100, 310, S19, B19, 1
S19, Trade, 182.650, 310, S19, B10, 1
S19, Trade, 248.250, 310, S19, B06, 1
S19, Trade, 301.575, 310, S19, B12, 1
S19, Trade, 360.675, 310, S19, B14, 1
S19, Trade, 424.275, 310, S19, B13, 1
S19, Trade, 481.525, 310, S19, B12, 1
S19, Trade, 541.325, 310, S19, B17, 1
