B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 2
S09, Trade, 481.250, 310, S09, B12, 1
S09, Trade, 541.225, 310, S09, B12, 1
S10, 7
S10, Trade, 66.900, 310, S10, B17, 1
S10, Trade, 120.975, 310, B18, S10, 1
S10, Trade, 301.200, 313, S10, B08, 1
S10, Trade, 364.375, 310, S10, B18, 1
S10, Trade, 443.350, 312, B13, S10, 1
S10, Trade, 480.725, 315, S10, B10, 1
S10, Trade, 564.750, 311, S10, B06, 1
S11, 2
S11, Trade, 122.100, 326, S11, B11, 1
S11, Trade, 242.025, 310, S11, B11, 1
S12, 9
S12, Trade, 61.250, 310, S12, B11, 1
S12, Trade, 121.450, 311, B17, S12, 1
S12, Trade, 182.350, 310, S12, B19, 1
S12, Trade, 241.075, 310, S12, B17, 1
S12, Trade, 300.500, 310, S12, B18, 1
S12, Trade, 365.925, 310, S12, B15, 1
S12, Trade, 420.325, 310, S12, B12, 1
S12, Trade, 480.625, 310, B08, S12, 1
S12, Trade, 543.050, 310, S12, B19, 1
S13, 1
S13, Trade, 180.950, 310, S13, B11, 1
S14, 1
S14, Trade, 312.050, 337, B07, S14, 1
S15, 1
S15, Trade, 70.375, 312, B10, S15, 1
S16, 3
S16, Trade, 100.125, 337, B07, S16, 1
S16, Trade, 122.825, 310, S16, B16, 1
S16, Trade, 465.175, 312, S16, B06, 1
S17, 2
S17, Trade, 314.150, 312, S17, B06, 1
S17, Trade, 486.750, 310, S17, B07, 1
S18, 9
S18, Trade, 60.675, 310, S18, B13, 1
S18, Trade, 129.150, 310, S18, B06, 1
S18, Trade, 201.650, 310, S18, B05, 1
S18, Trade, 240.700, 310, S18, B18, 1
S18, Trade, 301.000, 312, B17, S18, 1
S18, Trade, 365.675, 310, S18, B17, 1
S18, Trade, 435.850, 310, S18, B07, 1
S18, Trade, 490.050, 310, S18, B14, 1
S18, Trade, 542.100, 310, S18, B17, 1
S19, 9
S19, Trade, 62.725, 310, S19, B18, 1
S19, Trade, 120.850, 310, S19, B08, 1
S19, Trade, 183.250, 310, S19, B17, 1
S19, Trade, 240.900, 310, S19, B08, 1
S19, Trade, 301.650, 313, B10, S19, 1
S19, Trade, 361.500, 310, S19, B07, 1
S19, Trade, 421.400, 310, S19, B08, 1
S19, Trade, 485.150, 310, S19, B18, 1
S19, Trade, 542.075, 310, S19, B08, 1
