t=,1134763, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.066, mSel=,+0.034, b=,0.125, m=,0.110, ca=,0.0507, cr=,0.0604,  actvprof=,0.486293, best_B_id=,B04, best_B_prof=,0.486293, best_B_strat=, mBuy=,-0.066, mSel=,+0.034, b=,0.125, m=,0.110, ca=,0.0507, cr=,0.0604, 
t=,1170227, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.066, mSel=,+0.034, b=,0.125, m=,0.110, ca=,0.0507, cr=,0.0604,  actvprof=,0.459694, best_B_id=,B04, best_B_prof=,0.459694, best_B_strat=, mBuy=,-0.066, mSel=,+0.034, b=,0.125, m=,0.110, ca=,0.0507, cr=,0.0604, 
t=,1205688, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.072, mSel=,+0.028, b=,0.210, m=,0.079, ca=,0.0509, cr=,0.0582,  actvprof=,0.484799, best_B_id=,B04, best_B_prof=,0.484799, best_B_strat=, mBuy=,-0.072, mSel=,+0.028, b=,0.210, m=,0.079, ca=,0.0509, cr=,0.0582, 
t=,1241149, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.036, mSel=,+0.019, b=,0.201, m=,0.035, ca=,0.0506, cr=,0.0559,  actvprof=,0.519984, best_B_id=,B04, best_B_prof=,0.519984, best_B_strat=, mBuy=,-0.036, mSel=,+0.019, b=,0.201, m=,0.035, ca=,0.0506, cr=,0.0559, 
t=,1276610, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.036, mSel=,+0.019, b=,0.201, m=,0.035, ca=,0.0506, cr=,0.0559,  actvprof=,0.534504, best_B_id=,B04, best_B_prof=,0.534504, best_B_strat=, mBuy=,-0.036, mSel=,+0.019, b=,0.201, m=,0.035, ca=,0.0506, cr=,0.0559, 
t=,1312070, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.009, b=,0.174, m=,0.019, ca=,0.0491, cr=,0.0547,  actvprof=,0.507263, best_B_id=,B04, best_B_prof=,0.507263, best_B_strat=, mBuy=,+0.000, mSel=,+0.009, b=,0.174, m=,0.019, ca=,0.0491, cr=,0.0547, 
t=,1347533, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.024, mSel=,+0.000, b=,0.201, m=,0.005, ca=,0.0486, cr=,0.0523,  actvprof=,0.510418, best_B_id=,B04, best_B_prof=,0.510418, best_B_strat=, mBuy=,-0.024, mSel=,+0.000, b=,0.201, m=,0.005, ca=,0.0486, cr=,0.0523, 
t=,1382994, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.024, mSel=,+0.000, b=,0.201, m=,0.005, ca=,0.0486, cr=,0.0523,  actvprof=,0.553101, best_B_id=,B04, best_B_prof=,0.553101, best_B_strat=, mBuy=,-0.024, mSel=,+0.000, b=,0.201, m=,0.005, ca=,0.0486, cr=,0.0523, 
t=,1418455, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.055, mSel=,+0.003, b=,0.191, m=,0.000, ca=,0.0522, cr=,0.0470,  actvprof=,0.523084, best_B_id=,B04, best_B_prof=,0.523084, best_B_strat=, mBuy=,-0.055, mSel=,+0.003, b=,0.191, m=,0.000, ca=,0.0522, cr=,0.0470, 
t=,1453917, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.045, mSel=,+0.049, b=,0.177, m=,0.005, ca=,0.0552, cr=,0.0439,  actvprof=,0.508545, best_B_id=,B04, best_B_prof=,0.508545, best_B_strat=, mBuy=,-0.045, mSel=,+0.049, b=,0.177, m=,0.005, ca=,0.0552, cr=,0.0439, 
t=,1489379, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.049, mSel=,+0.063, b=,0.196, m=,0.023, ca=,0.0552, cr=,0.0416,  actvprof=,0.514574, best_B_id=,B04, best_B_prof=,0.514574, best_B_strat=, mBuy=,-0.049, mSel=,+0.063, b=,0.196, m=,0.023, ca=,0.0552, cr=,0.0416, 
t=,1524843, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.093, b=,0.196, m=,0.003, ca=,0.0554, cr=,0.0390,  actvprof=,0.552635, best_B_id=,B04, best_B_prof=,0.552635, best_B_strat=, mBuy=,-0.039, mSel=,+0.093, b=,0.196, m=,0.003, ca=,0.0554, cr=,0.0390, 
t=,1560304, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.093, b=,0.196, m=,0.003, ca=,0.0554, cr=,0.0390,  actvprof=,0.523157, best_B_id=,B04, best_B_prof=,0.523157, best_B_strat=, mBuy=,-0.039, mSel=,+0.093, b=,0.196, m=,0.003, ca=,0.0554, cr=,0.0390, 
t=,1595765, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.044, mSel=,+0.074, b=,0.176, m=,0.000, ca=,0.0557, cr=,0.0363,  actvprof=,0.510401, best_B_id=,B04, best_B_prof=,0.510401, best_B_strat=, mBuy=,-0.044, mSel=,+0.074, b=,0.176, m=,0.000, ca=,0.0557, cr=,0.0363, 
t=,1631229, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.044, mSel=,+0.074, b=,0.176, m=,0.000, ca=,0.0557, cr=,0.0363,  actvprof=,0.532790, best_B_id=,B04, best_B_prof=,0.532790, best_B_strat=, mBuy=,-0.044, mSel=,+0.074, b=,0.176, m=,0.000, ca=,0.0557, cr=,0.0363, 
t=,1666691, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.075, mSel=,+0.106, b=,0.205, m=,0.011, ca=,0.0563, cr=,0.0361,  actvprof=,0.524325, best_B_id=,B04, best_B_prof=,0.524325, best_B_strat=, mBuy=,-0.075, mSel=,+0.106, b=,0.205, m=,0.011, ca=,0.0563, cr=,0.0361, 
t=,1702152, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.113, mSel=,+0.135, b=,0.211, m=,0.000, ca=,0.0547, cr=,0.0361,  actvprof=,0.531783, best_B_id=,B04, best_B_prof=,0.531783, best_B_strat=, mBuy=,-0.113, mSel=,+0.135, b=,0.211, m=,0.000, ca=,0.0547, cr=,0.0361, 
t=,1737613, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.042, mSel=,+0.123, b=,0.191, m=,0.002, ca=,0.0561, cr=,0.0367,  actvprof=,0.530247, best_B_id=,B04, best_B_prof=,0.530247, best_B_strat=, mBuy=,-0.042, mSel=,+0.123, b=,0.191, m=,0.002, ca=,0.0561, cr=,0.0367, 
t=,1773075, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.054, mSel=,+0.135, b=,0.210, m=,0.000, ca=,0.0562, cr=,0.0409,  actvprof=,0.490342, best_B_id=,B04, best_B_prof=,0.490342, best_B_strat=, mBuy=,-0.054, mSel=,+0.135, b=,0.210, m=,0.000, ca=,0.0562, cr=,0.0409, 
t=,1808536, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.097, mSel=,+0.115, b=,0.239, m=,0.000, ca=,0.0544, cr=,0.0409,  actvprof=,0.540223, best_B_id=,B04, best_B_prof=,0.540223, best_B_strat=, mBuy=,-0.097, mSel=,+0.115, b=,0.239, m=,0.000, ca=,0.0544, cr=,0.0409, 
t=,1843998, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.028, mSel=,+0.107, b=,0.268, m=,0.000, ca=,0.0555, cr=,0.0372,  actvprof=,0.527370, best_B_id=,B04, best_B_prof=,0.527370, best_B_strat=, mBuy=,-0.028, mSel=,+0.107, b=,0.268, m=,0.000, ca=,0.0555, cr=,0.0372, 
t=,1879458, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.028, mSel=,+0.107, b=,0.268, m=,0.000, ca=,0.0555, cr=,0.0372,  actvprof=,0.539722, best_B_id=,B04, best_B_prof=,0.539722, best_B_strat=, mBuy=,-0.028, mSel=,+0.107, b=,0.268, m=,0.000, ca=,0.0555, cr=,0.0372, 
t=,1914919, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.110, b=,0.229, m=,0.014, ca=,0.0553, cr=,0.0392,  actvprof=,0.545718, best_B_id=,B04, best_B_prof=,0.545718, best_B_strat=, mBuy=,+0.000, mSel=,+0.110, b=,0.229, m=,0.014, ca=,0.0553, cr=,0.0392, 
t=,1950380, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.110, b=,0.229, m=,0.014, ca=,0.0553, cr=,0.0392,  actvprof=,0.561782, best_B_id=,B04, best_B_prof=,0.561782, best_B_strat=, mBuy=,+0.000, mSel=,+0.110, b=,0.229, m=,0.014, ca=,0.0553, cr=,0.0392, 
t=,1985842, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.009, mSel=,+0.101, b=,0.233, m=,0.000, ca=,0.0557, cr=,0.0377,  actvprof=,0.524656, best_B_id=,B04, best_B_prof=,0.524656, best_B_strat=, mBuy=,-0.009, mSel=,+0.101, b=,0.233, m=,0.000, ca=,0.0557, cr=,0.0377, 
t=,2021307, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.017, mSel=,+0.089, b=,0.229, m=,0.016, ca=,0.0567, cr=,0.0388,  actvprof=,0.523169, best_B_id=,B04, best_B_prof=,0.523169, best_B_strat=, mBuy=,-0.017, mSel=,+0.089, b=,0.229, m=,0.016, ca=,0.0567, cr=,0.0388, 
t=,2056768, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.009, mSel=,+0.089, b=,0.229, m=,0.034, ca=,0.0592, cr=,0.0406,  actvprof=,0.504319, best_B_id=,B04, best_B_prof=,0.504319, best_B_strat=, mBuy=,-0.009, mSel=,+0.089, b=,0.229, m=,0.034, ca=,0.0592, cr=,0.0406, 
t=,2092229, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.017, mSel=,+0.098, b=,0.225, m=,0.064, ca=,0.0612, cr=,0.0397,  actvprof=,0.495419, best_B_id=,B04, best_B_prof=,0.495419, best_B_strat=, mBuy=,-0.017, mSel=,+0.098, b=,0.225, m=,0.064, ca=,0.0612, cr=,0.0397, 
t=,2127690, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.020, mSel=,+0.098, b=,0.248, m=,0.044, ca=,0.0603, cr=,0.0414,  actvprof=,0.491174, best_B_id=,B04, best_B_prof=,0.491174, best_B_strat=, mBuy=,-0.020, mSel=,+0.098, b=,0.248, m=,0.044, ca=,0.0603, cr=,0.0414, 
t=,2163151, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.103, b=,0.238, m=,0.065, ca=,0.0595, cr=,0.0437,  actvprof=,0.519013, best_B_id=,B04, best_B_prof=,0.519013, best_B_strat=, mBuy=,+0.000, mSel=,+0.103, b=,0.238, m=,0.065, ca=,0.0595, cr=,0.0437, 
t=,2198613, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.042, mSel=,+0.121, b=,0.250, m=,0.076, ca=,0.0608, cr=,0.0473,  actvprof=,0.521717, best_B_id=,B04, best_B_prof=,0.521717, best_B_strat=, mBuy=,-0.042, mSel=,+0.121, b=,0.250, m=,0.076, ca=,0.0608, cr=,0.0473, 
t=,2234075, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.052, mSel=,+0.119, b=,0.221, m=,0.093, ca=,0.0645, cr=,0.0408,  actvprof=,0.474856, best_B_id=,B04, best_B_prof=,0.474856, best_B_strat=, mBuy=,-0.052, mSel=,+0.119, b=,0.221, m=,0.093, ca=,0.0645, cr=,0.0408, 
t=,2269536, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.068, mSel=,+0.092, b=,0.226, m=,0.094, ca=,0.0663, cr=,0.0427,  actvprof=,0.477350, best_B_id=,B04, best_B_prof=,0.477350, best_B_strat=, mBuy=,-0.068, mSel=,+0.092, b=,0.226, m=,0.094, ca=,0.0663, cr=,0.0427, 
t=,2304997, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.068, mSel=,+0.092, b=,0.226, m=,0.094, ca=,0.0663, cr=,0.0427,  actvprof=,0.488075, best_B_id=,B04, best_B_prof=,0.488075, best_B_strat=, mBuy=,-0.068, mSel=,+0.092, b=,0.226, m=,0.094, ca=,0.0663, cr=,0.0427, 
t=,2340460, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.041, mSel=,+0.106, b=,0.197, m=,0.049, ca=,0.0667, cr=,0.0431,  actvprof=,0.482289, best_B_id=,B04, best_B_prof=,0.482289, best_B_strat=, mBuy=,-0.041, mSel=,+0.106, b=,0.197, m=,0.049, ca=,0.0667, cr=,0.0431, 
t=,2375923, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.057, mSel=,+0.112, b=,0.189, m=,0.048, ca=,0.0641, cr=,0.0407,  actvprof=,0.483459, best_B_id=,B04, best_B_prof=,0.483459, best_B_strat=, mBuy=,-0.057, mSel=,+0.112, b=,0.189, m=,0.048, ca=,0.0641, cr=,0.0407, 
t=,2411384, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.057, mSel=,+0.112, b=,0.189, m=,0.048, ca=,0.0641, cr=,0.0407,  actvprof=,0.528935, best_B_id=,B04, best_B_prof=,0.528935, best_B_strat=, mBuy=,-0.057, mSel=,+0.112, b=,0.189, m=,0.048, ca=,0.0641, cr=,0.0407, 
t=,2446845, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.044, mSel=,+0.108, b=,0.176, m=,0.012, ca=,0.0645, cr=,0.0393,  actvprof=,0.520774, best_B_id=,B04, best_B_prof=,0.520774, best_B_strat=, mBuy=,-0.044, mSel=,+0.108, b=,0.176, m=,0.012, ca=,0.0645, cr=,0.0393, 
t=,2482306, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.052, mSel=,+0.086, b=,0.182, m=,0.019, ca=,0.0620, cr=,0.0409,  actvprof=,0.510073, best_B_id=,B04, best_B_prof=,0.510073, best_B_strat=, mBuy=,-0.052, mSel=,+0.086, b=,0.182, m=,0.019, ca=,0.0620, cr=,0.0409, 
t=,2517769, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.054, mSel=,+0.128, b=,0.195, m=,0.013, ca=,0.0588, cr=,0.0416,  actvprof=,0.518467, best_B_id=,B04, best_B_prof=,0.518467, best_B_strat=, mBuy=,-0.054, mSel=,+0.128, b=,0.195, m=,0.013, ca=,0.0588, cr=,0.0416, 
t=,2553230, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.019, mSel=,+0.124, b=,0.184, m=,0.000, ca=,0.0584, cr=,0.0406,  actvprof=,0.516711, best_B_id=,B04, best_B_prof=,0.516711, best_B_strat=, mBuy=,-0.019, mSel=,+0.124, b=,0.184, m=,0.000, ca=,0.0584, cr=,0.0406, 
t=,2588692, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.037, mSel=,+0.114, b=,0.178, m=,0.043, ca=,0.0576, cr=,0.0411,  actvprof=,0.514837, best_B_id=,B04, best_B_prof=,0.514837, best_B_strat=, mBuy=,-0.037, mSel=,+0.114, b=,0.178, m=,0.043, ca=,0.0576, cr=,0.0411, 
