B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 3
S08, Trade, 481.275, 347, S08, B15, 1
S08, Trade, 543.275, 310, S08, B14, 1
S09, 0
S10, 7
S10, Trade, 61.200, 399, S10, B12, 1
S10, Trade, 125.675, 310, S10, B16, 1
S10, Trade, 183.350, 310, S10, B11, 1
S10, Trade, 361.125, 310, S10, B07, 1
S10, Trade, 421.350, 310, S10, B08, 1
S10, Trade, 484.350, 310, S10, B18, 1
S10, Trade, 547.900, 310, S10, B11, 1
S11, 5
S11, Trade, 121.550, 322, B09, S11, 1
S11, Trade, 180.425, 311, S11, B06, 1
S11, Trade, 240.150, 314, S11, B06, 1
S11, Trade, 301.275, 315, S11, B11, 1
S11, Trade, 421.625, 310, S11, B11, 1
S12, 7
S12, Trade, 60.100, 398, B15, S12, 1
S12, Trade, 121.000, 319, B18, S12, 1
S12, Trade, 185.925, 310, S12, B19, 1
S12, Trade, 362.175, 310, S12, B11, 1
S12, Trade, 422.125, 310, S12, B13, 1
S12, Trade, 481.150, 325, B06, S12, 1
S12, Trade, 541.775, 310, S12, B13, 1
S13, 7
S13, Trade, 62.175, 380, B19, S13, 1
S13, Trade, 180.725, 310, S13, B12, 1
S13, Trade, 245.650, 310, S13, B19, 1
S13, Trade, 300.350, 376, B10, S13, 1
S13, Trade, 381.875, 310, S13, B08, 1
S13, Trade, 421.575, 310, S13, B17, 1
S13, Trade, 480.800, 426, B14, S13, 1
S14, 8
S14, Trade, 60.500, 418, S14, B16, 1
S14, Trade, 120.200, 311, S14, B12, 1
S14, Trade, 241.150, 310, S14, B07, 1
S14, Trade, 300.775, 310, S14, B12, 1
S14, Trade, 361.575, 310, S14, B10, 1
S14, Trade, 420.750, 310, S14, B06, 1
S14, Trade, 490.100, 310, S14, B16, 1
S14, Trade, 541.275, 310, S14, B06, 1
S15, 8
S15, Trade, 60.375, 347, B11, S15, 1
S15, Trade, 121.625, 312, B05, S15, 1
S15, Trade, 180.350, 310, S15, B14, 1
S15, Trade, 245.850, 310, S15, B11, 1
S15, Trade, 300.725, 310, S15, B09, 1
S15, Trade, 362.425, 310, S15, B13, 1
S15, Trade, 421.475, 310, S15, B12, 1
S15, Trade, 481.450, 312, B05, S15, 1
S16, 6
S16, Trade, 62.325, 350, B09, S16, 1
S16, Trade, 120.250, 312, S16, B15, 1
S16, Trade, 180.925, 310, S16, B17, 1
S16, Trade, 301.225, 314, S16, B14, 1
S16, Trade, 480.600, 347, S16, B17, 1
S16, Trade, 541.300, 313, S16, B19, 1
S17, 7
S17, Trade, 62.800, 385, S17, B14, 1
S17, Trade, 122.325, 310, S17, B19, 1
S17, Trade, 241.000, 310, S17, B12, 1
S17, Trade, 302.325, 310, S17, B06, 1
S17, Trade, 361.100, 310, S17, B16, 1
S17, Trade, 481.925, 344, S17, B10, 1
S17, Trade, 540.700, 310, S17, B08, 1
S18, 0
S19, 2
S19, Trade, 60.050, 464, B17, S19, 1
S19, Trade, 120.300, 337, S19, B10, 1
