B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
S09, Trade, 123.700, 310, S09, B12, 1
S09, Trade, 181.900, 311, B14, S09, 1
S09, Trade, 303.425, 310, S09, B08, 1
S09, Trade, 370.675, 325, B06, S09, 1
S09, Trade, 422.150, 310, S09, B13, 1
S09, Trade, 486.450, 310, S09, B12, 1
S09, Trade, 544.200, 317, S09, B06, 1
S10, 9
S10, Trade, 63.425, 310, S10, B11, 1
S10, Trade, 125.625, 310, S10, B14, 1
S10, Trade, 184.750, 310, S10, B11, 1
S10, Trade, 244.450, 310, S10, B18, 1
S10, Trade, 301.725, 310, S10, B14, 1
S10, Trade, 364.625, 363, B09, S10, 1
S10, Trade, 422.550, 310, B17, S10, 1
S10, Trade, 487.075, 310, S10, B16, 1
S10, Trade, 544.725, 315, S10, B16, 1
S11, 1
S11, Trade, 363.425, 373, B10, S11, 1
S12, 7
S12, Trade, 67.425, 310, S12, B15, 1
S12, Trade, 134.900, 310, S12, B11, 1
S12, Trade, 181.775, 311, B18, S12, 1
S12, Trade, 242.225, 310, S12, B08, 1
S12, Trade, 303.875, 310, S12, B18, 1
S12, Trade, 422.200, 310, S12, B05, 1
S12, Trade, 544.100, 317, B18, S12, 1
S13, 1
S13, Trade, 361.700, 385, B13, S13, 1
S14, 9
S14, Trade, 66.350, 310, S14, B16, 1
S14, Trade, 124.650, 310, S14, B19, 1
S14, Trade, 181.375, 310, S14, B17, 1
S14, Trade, 242.875, 310, S14, B05, 1
S14, Trade, 304.000, 310, S14, B10, 1
S14, Trade, 366.475, 351, B08, S14, 1
S14, Trade, 421.700, 310, S14, B11, 1
S14, Trade, 497.475, 310, S14, B18, 1
S14, Trade, 541.850, 352, S14, B14, 1
S15, 8
S15, Trade, 64.600, 310, S15, B12, 1
S15, Trade, 124.525, 310, S15, B16, 1
S15, Trade, 241.850, 310, S15, B10, 1
S15, Trade, 303.750, 310, S15, B06, 1
S15, Trade, 373.200, 313, B05, S15, 1
S15, Trade, 421.600, 310, S15, B08, 1
S15, Trade, 486.275, 310, S15, B07, 1
S15, Trade, 546.225, 313, B05, S15, 1
S16, 9
S16, Trade, 66.725, 310, S16, B19, 1
S16, Trade, 122.875, 310, S16, B15, 1
S16, Trade, 182.050, 311, S16, B16, 1
S16, Trade, 243.325, 310, S16, B16, 1
S16, Trade, 305.350, 310, S16, B05, 1
S16, Trade, 363.150, 376, B15, S16, 1
S16, Trade, 428.525, 318, S16, B10, 1
S16, Trade, 488.100, 310, S16, B05, 1
S16, Trade, 549.150, 310, S16, B11, 1
S17, 8
S17, Trade, 64.575, 310, S17, B13, 1
S17, Trade, 124.225, 310, S17, B06, 1
S17, Trade, 191.675, 310, S17, B13, 1
S17, Trade, 242.200, 310, S17, B09, 1
S17, Trade, 302.775, 310, S17, B11, 1
S17, Trade, 421.350, 310, S17, B07, 1
S17, Trade, 483.225, 310, S17, B14, 1
S17, Trade, 544.550, 315, B13, S17, 1
S18, 9
S18, Trade, 65.200, 310, S18, B10, 1
S18, Trade, 122.775, 310, S18, B17, 1
S18, Trade, 187.925, 310, S18, B08, 1
S18, Trade, 246.250, 310, S18, B19, 1
S18, Trade, 305.950, 310, S18, B15, 1
S18, Trade, 363.375, 376, S18, B16, 1
S18, Trade, 422.075, 310, S18, B15, 1
S18, Trade, 486.400, 310, S18, B19, 1
S18, Trade, 545.000, 315, B09, S18, 1
S19, 8
S19, Trade, 65.075, 310, S19, B07, 1
S19, Trade, 122.550, 310, S19, B07, 1
S19, Trade, 181.100, 311, B10, S19, 1
S19, Trade, 244.625, 310, S19, B06, 1
S19, Trade, 306.125, 310, S19, B12, 1
S19, Trade, 423.075, 311, S19, B12, 1
S19, Trade, 488.725, 310, S19, B11, 1
S19, Trade, 544.250, 317, S19, B19, 1
